city,settle_date,market,forecast,actual,lo,hi,p_model,p_market,edge,action,entry_price,won_yes,pnl_per_contract
NY,2026-04-22,KXHIGHNY-26APR22-B57.5,52.9,54.1,57.5,58.5,0.0,0.57,-0.57,NO,0.45,False,0.53
NY,2026-04-23,KXHIGHNY-26APR23-B74.5,74.4,72.2,74.5,75.5,0.176,0.34,-0.164,NO,0.68,False,0.3
NY,2026-04-23,KXHIGHNY-26APR23-B68.5,74.4,72.2,68.5,69.5,0.01,0.2,-0.19,NO,0.82,False,0.17
NY,2026-04-23,KXHIGHNY-26APR23-B72.5,74.4,72.2,72.5,73.5,0.093,0.65,-0.557,NO,0.37,False,0.61
NY,2026-04-23,KXHIGHNY-26APR23-B70.5,74.4,72.2,70.5,71.5,0.076,0.28,-0.204,NO,0.74,False,0.25
NY,2026-04-24,KXHIGHNY-26APR24-B66.5,68.6,69.6,66.5,67.5,0.112,0.46,-0.348,NO,0.56,False,0.42
NY,2026-04-24,KXHIGHNY-26APR24-B62.5,68.6,69.6,62.5,63.5,0.006,0.15,-0.144,NO,0.87,False,0.12
NY,2026-04-24,KXHIGHNY-26APR24-B64.5,68.6,69.6,64.5,65.5,0.067,0.31,-0.243,NO,0.71,False,0.28
NY,2026-04-25,KXHIGHNY-26APR25-B51.5,49.0,50.2,51.5,52.5,0.078,0.29,-0.212,NO,0.73,False,0.26
NY,2026-04-26,KXHIGHNY-26APR26-B55.5,58.1,55.8,55.5,56.5,0.14,0.3,-0.16,NO,0.72,True,-0.73
NY,2026-04-26,KXHIGHNY-26APR26-B57.5,58.1,55.8,57.5,58.5,0.23,0.43,-0.2,NO,0.59,False,0.39
NY,2026-04-26,KXHIGHNY-26APR26-B51.5,58.1,55.8,51.5,52.5,0.0,0.43,-0.43,NO,0.59,False,0.39
NY,2026-04-26,KXHIGHNY-26APR26-B53.5,58.1,55.8,53.5,54.5,0.051,0.25,-0.199,NO,0.77,False,0.22
NY,2026-04-27,KXHIGHNY-26APR27-B64.5,68.8,66.9,64.5,65.5,0.056,0.17,-0.114,NO,0.85,False,0.14
NY,2026-04-27,KXHIGHNY-26APR27-B68.5,68.8,66.9,68.5,69.5,0.186,0.58,-0.394,NO,0.44,False,0.54
NY,2026-04-27,KXHIGHNY-26APR27-B62.5,68.8,66.9,62.5,63.5,0.0,0.1,-0.1,NO,0.92,False,0.07
NY,2026-04-27,KXHIGHNY-26APR27-B66.5,68.8,66.9,66.5,67.5,0.125,0.42,-0.295,NO,0.6,True,-0.62
NY,2026-04-28,KXHIGHNY-26APR28-B65.5,65.6,64.4,65.5,66.5,0.17,0.57,-0.4,NO,0.45,False,0.53
NY,2026-04-28,KXHIGHNY-26APR28-B61.5,65.6,64.4,61.5,62.5,0.067,0.84,-0.773,NO,0.18,False,0.81
NY,2026-04-28,KXHIGHNY-26APR28-B59.5,65.6,64.4,59.5,60.5,0.006,0.1,-0.094,NO,0.92,False,0.07
NY,2026-04-29,KXHIGHNY-26APR29-B62.5,62.9,62.9,62.5,63.5,0.194,0.61,-0.416,NO,0.41,True,-0.43
NY,2026-04-29,KXHIGHNY-26APR29-B56.5,62.9,62.9,56.5,57.5,0.0,0.2,-0.2,NO,0.82,False,0.17
NY,2026-04-29,KXHIGHNY-26APR29-B58.5,62.9,62.9,58.5,59.5,0.054,0.32,-0.266,NO,0.7,False,0.29
CHI,2026-04-22,KXHIGHCHI-26APR22-B73.5,71.7,69.1,73.5,74.5,0.051,0.16,-0.109,NO,0.86,False,0.13
CHI,2026-04-23,KXHIGHCHI-26APR23-B84.5,81.3,79.1,84.5,85.5,0.0,0.15,-0.15,NO,0.87,False,0.12
CHI,2026-04-23,KXHIGHCHI-26APR23-B82.5,81.3,79.1,82.5,83.5,0.089,0.56,-0.471,NO,0.46,False,0.52
CHI,2026-04-23,KXHIGHCHI-26APR23-B78.5,81.3,79.1,78.5,79.5,0.234,0.58,-0.346,NO,0.44,True,-0.46
CHI,2026-04-24,KXHIGHCHI-26APR24-B70.5,74.2,67.9,70.5,71.5,0.094,0.83,-0.736,NO,0.19,False,0.8
CHI,2026-04-24,KXHIGHCHI-26APR24-B72.5,74.2,67.9,72.5,73.5,0.143,0.54,-0.397,NO,0.48,False,0.5
CHI,2026-04-24,KXHIGHCHI-26APR24-B74.5,74.2,67.9,74.5,75.5,0.138,0.38,-0.242,NO,0.64,False,0.34
CHI,2026-04-25,KXHIGHCHI-26APR25-B56.5,60.1,55.7,56.5,57.5,0.112,0.47,-0.358,NO,0.55,False,0.43
CHI,2026-04-25,KXHIGHCHI-26APR25-B62.5,60.1,55.7,62.5,63.5,0.026,0.12,-0.094,NO,0.9,False,0.09
CHI,2026-04-25,KXHIGHCHI-26APR25-B58.5,60.1,55.7,58.5,59.5,0.13,0.47,-0.34,NO,0.55,False,0.43
CHI,2026-04-26,KXHIGHCHI-26APR26-B63.5,58.7,58.4,63.5,64.5,0.0,0.26,-0.26,NO,0.76,False,0.23
CHI,2026-04-26,KXHIGHCHI-26APR26-B67.5,58.7,58.4,67.5,68.5,0.0,0.12,-0.12,NO,0.9,False,0.09
CHI,2026-04-26,KXHIGHCHI-26APR26-B61.5,58.7,58.4,61.5,62.5,0.0,0.41,-0.41,NO,0.61,False,0.37
CHI,2026-04-26,KXHIGHCHI-26APR26-B65.5,58.7,58.4,65.5,66.5,0.0,0.12,-0.12,NO,0.9,False,0.09
CHI,2026-04-27,KXHIGHCHI-26APR27-B71.5,66.1,66.9,71.5,72.5,0.0,0.16,-0.16,NO,0.86,False,0.13
CHI,2026-04-27,KXHIGHCHI-26APR27-B73.5,66.1,66.9,73.5,74.5,0.0,0.12,-0.12,NO,0.9,False,0.09
CHI,2026-04-28,KXHIGHCHI-26APR28-B62.5,65.3,62.9,62.5,63.5,0.234,0.65,-0.416,NO,0.37,True,-0.39
CHI,2026-04-28,KXHIGHCHI-26APR28-B60.5,65.3,62.9,60.5,61.5,0.052,0.24,-0.188,NO,0.78,False,0.21
CHI,2026-04-28,KXHIGHCHI-26APR28-B64.5,65.3,62.9,64.5,65.5,0.148,0.23,-0.082,NO,0.79,False,0.2
CHI,2026-04-29,KXHIGHCHI-26APR29-B54.5,59.4,55.3,54.5,55.5,0.058,0.48,-0.422,NO,0.54,True,-0.56
CHI,2026-04-29,KXHIGHCHI-26APR29-B56.5,59.4,55.3,56.5,57.5,0.235,0.44,-0.205,NO,0.58,False,0.4
LAX,2026-04-23,KXHIGHLAX-26APR23-B72.5,73.1,72.2,72.5,73.5,0.207,0.47,-0.263,NO,0.55,False,0.43
LAX,2026-04-24,KXHIGHLAX-26APR24-B74.5,74.2,72.0,74.5,75.5,0.165,0.75,-0.585,NO,0.27,False,0.72
LAX,2026-04-24,KXHIGHLAX-26APR24-B72.5,74.2,72.0,72.5,73.5,0.148,0.27,-0.122,NO,0.75,False,0.24
LAX,2026-04-24,KXHIGHLAX-26APR24-B68.5,74.2,72.0,68.5,69.5,0.0,0.16,-0.16,NO,0.86,False,0.13
LAX,2026-04-24,KXHIGHLAX-26APR24-B70.5,74.2,72.0,70.5,71.5,0.106,0.28,-0.174,NO,0.74,False,0.25
LAX,2026-04-25,KXHIGHLAX-26APR25-B68.5,65.2,63.1,68.5,69.5,0.027,0.65,-0.623,NO,0.37,False,0.61
LAX,2026-04-25,KXHIGHLAX-26APR25-B64.5,65.2,63.1,64.5,65.5,0.18,0.42,-0.24,NO,0.6,False,0.38
LAX,2026-04-25,KXHIGHLAX-26APR25-B66.5,65.2,63.1,66.5,67.5,0.115,0.39,-0.275,NO,0.63,False,0.35
LAX,2026-04-26,KXHIGHLAX-26APR26-B62.5,65.5,62.3,62.5,63.5,0.121,0.43,-0.309,NO,0.59,False,0.39
LAX,2026-04-26,KXHIGHLAX-26APR26-B64.5,65.5,62.3,64.5,65.5,0.219,0.32,-0.101,NO,0.7,False,0.29
LAX,2026-04-26,KXHIGHLAX-26APR26-B68.5,65.5,62.3,68.5,69.5,0.037,0.2,-0.163,NO,0.82,False,0.17
