city,settle_date,market,forecast_blurred,actual,lo,hi,p_model,p_market,edge,action,entry_price,pnl_per_contract,won_bet
NY,2026-04-22,KXHIGHNY-26APR22-B57.5,53.81,54.1,57.5,58.5,0.051,0.57,-0.519,NO,0.45,0.53,True
NY,2026-04-23,KXHIGHNY-26APR23-B74.5,71.28,72.2,74.5,75.5,0.066,0.34,-0.274,NO,0.68,0.3,True
NY,2026-04-23,KXHIGHNY-26APR23-B68.5,71.28,72.2,68.5,69.5,0.071,0.2,-0.129,NO,0.82,0.17,True
NY,2026-04-23,KXHIGHNY-26APR23-B72.5,71.28,72.2,72.5,73.5,0.132,0.65,-0.518,NO,0.37,0.61,True
NY,2026-04-23,KXHIGHNY-26APR23-B70.5,71.28,72.2,70.5,71.5,0.135,0.28,-0.145,NO,0.74,0.25,True
NY,2026-04-24,KXHIGHNY-26APR24-B66.5,70.85,69.6,66.5,67.5,0.106,0.46,-0.354,NO,0.56,0.42,True
NY,2026-04-24,KXHIGHNY-26APR24-B62.5,70.85,69.6,62.5,63.5,0.012,0.15,-0.138,NO,0.87,0.12,True
NY,2026-04-24,KXHIGHNY-26APR24-B64.5,70.85,69.6,64.5,65.5,0.04,0.31,-0.27,NO,0.71,0.28,True
NY,2026-04-25,KXHIGHNY-26APR25-B51.5,51.82,50.2,51.5,52.5,0.164,0.29,-0.126,NO,0.73,0.26,True
NY,2026-04-26,KXHIGHNY-26APR26-B55.5,52.25,55.8,55.5,56.5,0.066,0.3,-0.234,NO,0.72,-0.73,False
NY,2026-04-26,KXHIGHNY-26APR26-B57.5,52.25,55.8,57.5,58.5,0.036,0.43,-0.394,NO,0.59,0.39,True
NY,2026-04-26,KXHIGHNY-26APR26-B51.5,52.25,55.8,51.5,52.5,0.134,0.43,-0.296,NO,0.59,0.39,True
NY,2026-04-26,KXHIGHNY-26APR26-B53.5,52.25,55.8,53.5,54.5,0.129,0.25,-0.121,NO,0.77,0.22,True
NY,2026-04-27,KXHIGHNY-26APR27-B68.5,64.89,66.9,68.5,69.5,0.049,0.58,-0.531,NO,0.44,0.54,True
NY,2026-04-27,KXHIGHNY-26APR27-B66.5,64.89,66.9,66.5,67.5,0.088,0.42,-0.332,NO,0.6,-0.62,False
